product_id,product,category
8,"Мороженое Коровка из Кореновки пломбир, ванильное, с мягкой карамелью, в пластиковом стаканчике, 1",Замороженная продукция
9,"Мороженое Коровка из Кореновки пломбир, шоколадный, лакомство, в шоколадно-сливочной глазури, 90 г",Замороженная продукция
12,"Мороженое Коровка из Кореновки пломбир, крем-брюле, лакомство, в шоколадно-сливочной глазури, 90 г",Замороженная продукция
16,"Мороженое Коровка из Кореновки пломбир, шоколадное, эскимо, в шоколадной глазури, с какао-крупкой,",Замороженная продукция
22,"Мороженое Коровка из Кореновки пломбир, двухслойное ванильное, с черной смородиной, полено, 400 г",Замороженная продукция
23,"Шоколад Alpen Gold Max Fun c фруктовыми кусочками, с шипучими шариками и взрывной карамелью, 160 г",Кондитерские изделия
30,"Мороженое Коровка из Кореновки пломбир, шоколадное, с шоколадом, в пластиковом стаканчике, 150 г",Замороженная продукция
38,"Мороженое Коровка из Кореновки пломбир, ванильное, с брусникой, в пластиковом стаканчике, 150 г",Замороженная продукция
41,"Мороженое Коровка из Кореновки пломбир, эскимо, с фундуком, в молочно-шоколадной глазури, 70 г",Замороженная продукция
43,"Мороженое Коровка из Кореновки пломбир, крем-брюле, эскимо, с карамелью, в белой глазури, 70 г",Замороженная продукция
49,"Энергетический напиток Adrenaline Game Fuel, безалкогольный, со вкусом лайма и имбиря, 449 мл",Безалкогольные напитки
52,"Пельмени Сибирская коллекция Классические, из говядины, свинины и филе бедра куриного, 700 г",Замороженная продукция
73,"Шоколад Milka молочный, с арахисом, карамелью, рисовыми шариками и кукурузными хлопьями, 90 г",Кондитерские изделия
74,"Мороженое Коровка из Кореновки пломбир, полено, 2-х слойное, шоколадное и ванильное, 400 г",Замороженная продукция
76,"Хлеб пшенично-ржаной Даниловский Коломенское на пшеничной закваске, в нарезке, 275 г",Хлеб и хлебобулочные изделия
80,"Печенье Milka Sensations, с кусочками молочного шоколада и шоколадной начинкой, 156 г",Мучные кондитерские изделия
81,"Пельмени Сибирская коллекция Фирменные, из говядины, свинины и филе бедра куриного, 700 г",Замороженная продукция
105,"Шоколад Alpen Gold молочный, с карамелезированными кусочками какао-бобов и карамели, 85 г",Кондитерские изделия
125,"Слойка Мастер Пироговъ Коломенское венский конвертик, с брусникой и яблоком, 70 г",Хлеб и хлебобулочные изделия
126,"Шербет Коровка из Кореновки в шоколадной глазури, с черной смородиной, на палочке, 70 г",Замороженная продукция
128,"Мороженое Коровка из Кореновки пломбир, лакомство, в шоколадно-сливочной глазури, 90 г",Замороженная продукция
139,"Шоколад Alpen Gold молочный, с карамелезированными кусочками какао-бобов и черники, 85 г",Кондитерские изделия
148,"Напиток Fuze Tea холодный чай, с лесными ягодами и гибискусом, негазированный, 500 мл",Безалкогольные напитки
